Date,Ticker,Shares,Buy Price,Cost Basis,Stop Loss,Current Price,Total Value,PnL,Action,Cash Balance,Total Equity
2025-09-26,EL,76.95,77.18,5935.13,70.00,0.00,0.00,0.00,HOLD,,
2025-09-26,IVV,7.53,566.68,4266.25,520.00,0.00,0.00,0.00,HOLD,,
2025-09-26,MVIS,621.378837209,1.18,730.99,1.05,0.00,0.00,0.00,HOLD,,
2025-09-26,QQQ,0.009,570.81,5.07,500.00,0.00,0.00,0.00,HOLD,,
2025-09-26,REKR,56.0,1.79,100.24,1.60,0.00,0.00,0.00,HOLD,,
2025-09-26,DUOT,13.0,7.52,97.76,6.75,0.00,0.00,0.00,HOLD,,
2025-09-26,PDSB,50.0,1.06,53.00,0.95,0.00,0.00,0.00,HOLD,,
2025-09-26,TNXP,4.0,24.70,98.80,22.20,0.00,0.00,0.00,HOLD,,
2025-09-26,MIST,51.0,1.91,97.41,1.72,0.00,0.00,0.00,HOLD,,
2025-09-26,ALDX,19.0,5.01,95.19,4.51,0.00,0.00,0.00,HOLD,,
2025-09-26,TOTAL,,,11532.74,,0.00,12819.13,1286.39,,0.00,12819.13
