Date,Ticker,Shares Bought,Buy Price,Cost Basis,PnL,Reason,Shares Sold,Sell Price
2023-06-02,MSFT,5.2,257.30,1337.96,0.0,MANUAL BUY - New position,,
2023-06-02,TSLA,7.0,193.00,1351.00,0.0,MANUAL BUY - New position,,
2023-06-02,AAPL,8.0,152.44,1219.52,0.0,MANUAL BUY - New position,,
2023-02-21,GOOGL,0.49,93.00,45.38,0.0,MANUAL BUY - New position,,
2023-05-30,TSLA,,,1351.00,119.00,MANUAL SELL - profit,7.0,210.00
2023-06-05,JEPI,27.0,54.32,1466.57,0.0,MANUAL BUY - New position,,
2023-06-12,AAPL,,,1219.52,260.56,MANUAL SELL - profit,8.0,185.01
2023-06-12,MSFT,,,1337.96,322.04,MANUAL SELL - profit,5.0,332.00
2023-06-12,CVS,23.0,68.36,1572.28,0.0,MANUAL BUY - New position,,
2023-06-15,DIS,16.0,92.44,1479.03,0.0,MANUAL BUY - New position,,
2023-08-16,DIS,,,1479.03,-95.67,MANUAL SELL - loss,16.0,86.46
2023-08-16,AMZN,10.0,136.61,1366.08,0.0,MANUAL BUY - New position,,
2023-08-16,CVS,,,1572.28,106.26,MANUAL SELL - profit,23.0,72.98
2023-08-16,AMZN,12.56,136.63,1715.89,0.0,MANUAL BUY - add position,,
2024-01-08,JEPI,,,1466.57,104.35,MANUAL SELL - profit,27.0,54.78
2024-01-08,MSFT,,,,-,MANUAL SELL - partial,0.2,369.63
2024-01-08,BABA,,,,-,MANUAL SELL,0.44,71.30
2024-01-08,GOOGL,,,45.38,21.16,MANUAL SELL - profit,0.49,136.35
2024-01-08,AMZN,,,3081.97,284.70,MANUAL SELL - profit,22.56,149.20
2024-01-08,ARKK,101.68,50.25,5109.00,0.0,MANUAL BUY - New position,,
2024-02-14,ARKK,,,5109.00,-25.00,MANUAL SELL - loss,101.68,50.00
2024-02-14,JMOM,103.15,49.26,5080.50,0.0,MANUAL BUY - New position,,
2024-02-29,QQQ,0.18,438.19,77.59,0.0,MANUAL BUY - New position,,
2024-04-04,VNQ,0.88,84.74,74.24,0.0,MANUAL BUY - New position,,
2024-04-15,IVV,0.14,517.63,73.84,0.0,MANUAL BUY - New position,,
2024-04-18,QQQ,0.17,426.43,73.86,0.0,MANUAL BUY - add position,,
2024-04-25,IVV,0.15,501.69,73.74,0.0,MANUAL BUY - add position,,
2024-05-15,JMOM,,,1100.00,0.00,MANUAL SELL - partial,21.06,52.24
2024-05-16,JMOM,1.45,52.87,76.60,0.0,MANUAL BUY - add position,,
2024-07-04,IVV,0.15,554.64,82.53,0.0,MANUAL BUY - add position,,
2024-07-11,IVV,0.13,563.85,73.21,0.0,MANUAL BUY - add position,,
2024-07-18,QQQ,0.15,485.52,73.08,0.0,MANUAL BUY - add position,,
2024-07-25,QQQ,0.16,463.70,73.48,0.0,MANUAL BUY - add position,,
2024-08-15,DBC,3.24,22.32,72.22,0.0,MANUAL BUY - New position,,
2024-09-30,JMOM,,,4748.07,0.00,MANUAL SELL - partial,83.54,56.84
2024-09-30,QQQ,3.91,486.07,1900.00,0.0,MANUAL BUY - add position,,
2024-09-30,IVV,4.95,574.00,2843.57,0.0,MANUAL BUY - add position,,
2024-12-26,QQQ,0.15,528.35,81.49,0.0,MANUAL BUY - add position,,
2025-01-21,QQQ,3.35,524.60,1758.91,0.0,MANUAL BUY - add position,,
2025-04-17,VNQ,,,74.24,76.84,MANUAL SELL - profit,0.88,86.84
2025-04-17,MINT,,,,-,MANUAL SELL,0.71,100.26
2025-06-16,DBC,,,72.22,0.34,MANUAL SELL - profit,3.24,22.42
2025-06-23,QQQ,,,5646.82,0.00,MANUAL SELL - partial,10.71,527.29
2025-06-23,EL,73.02,77.29,5643.82,0.0,MANUAL BUY - New position,,
2025-08-07,IVV,,,1000.00,0.00,MANUAL SELL - partial,1.57,635.36
2025-08-07,OCGN,529.0,0.95,502.50,0.0,MANUAL BUY - New position,,
2025-08-07,MVIS,436.03,1.13,491.89,0.0,MANUAL BUY - New position,,
2025-09-26,REKR,56.0,1.79,100.24,0.0,MANUAL BUY - New position,,
2025-09-26,DUOT,13.0,7.52,97.76,0.0,MANUAL BUY - New position,,
2025-09-26,PDSB,50.0,1.06,53.00,0.0,MANUAL BUY - New position,,
2025-09-26,TNXP,4.0,24.70,98.80,0.0,MANUAL BUY - New position,,
2025-09-26,MIST,51.0,1.91,97.41,0.0,MANUAL BUY - New position,,
2025-09-26,ALDX,19.0,5.01,95.19,0.0,MANUAL BUY - New position,,
2025-09-27,MVIS,185.348837209,1.29,239.10,0.0,MANUAL BUY - add position,,
2025-09-27,OCGN,,,502.50,291.00,MANUAL SELL - profit,529.0,1.50
